Date : 2022-05-12 19:35:27
Directory : /Users/yanghaozhe/Documents/Python/lumo
Total : 210 files,  9181 codes, 2823 comments, 3034 blanks, all 15038 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src/lumo/decorators                                                                   |          7 |        213 |        142 |         83 |        438 |
| src/lumo/exp                                                                          |          7 |        514 |         50 |        144 |        708 |
| src/lumo/lazy                                                                         |          1 |          0 |          0 |          1 |          1 |
| src/lumo/nest                                                                         |          5 |        187 |         71 |         63 |        321 |
| src/lumo/nest/trainer                                                                 |          4 |        187 |         71 |         62 |        320 |
| src/lumo/proc                                                                         |          6 |        122 |         25 |         57 |        204 |
| src/lumo/server                                                                       |          3 |          0 |          0 |          3 |          3 |
| src/lumo/server/apis                                                                  |          1 |          0 |          0 |          1 |          1 |
| src/lumo/sketch                                                                       |         19 |        874 |        617 |        278 |      1,769 |
| src/lumo/sketch/audio                                                                 |          4 |        106 |         52 |         40 |        198 |
| src/lumo/sketch/nddatasets                                                            |          3 |        104 |         18 |         44 |        166 |
| src/lumo/trainer                                                                      |          9 |      1,765 |        368 |        481 |      2,614 |
| src/lumo/utils                                                                        |          9 |        697 |        165 |        240 |      1,102 |
| src/lumo/vis                                                                          |          4 |        180 |         10 |         50 |        240 |
| template                                                                              |          1 |         66 |         14 |         38 |        118 |
| tests                                                                                 |         23 |        524 |         50 |        199 |        773 |
| tests/base_classes                                                                    |          6 |         95 |         12 |         39 |        146 |
| tests/calculate                                                                       |          2 |          8 |          6 |          7 |         21 |
| tests/contrib                                                                         |          5 |        170 |         24 |         49 |        243 |
| tests/kit                                                                             |          6 |        225 |          2 |         88 |        315 |
| tests/utils                                                                           |          2 |          6 |          6 |          6 |         18 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                              | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/yanghaozhe/Documents/Python/lumo/FCDataset.md                                  | Markdown         |         41 |          0 |         15 |         56 |
| /Users/yanghaozhe/Documents/Python/lumo/README.en.md                                  | Markdown         |         99 |          0 |         63 |        162 |
| /Users/yanghaozhe/Documents/Python/lumo/README.md                                     | Markdown         |         44 |          0 |         30 |         74 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/1.trainer.py                         | Python           |         70 |        138 |         28 |        236 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/2.meters.py                          | Python           |         43 |          4 |         10 |         57 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/3.logger.py                          | Python           |         19 |          3 |          7 |         29 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/4.rnd_seed.py                        | Python           |         24 |          5 |          9 |         38 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/5.saver.py                           | Python           |         14 |          1 |          6 |         21 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/6.global_config.py                   | Python           |         10 |          3 |          4 |         17 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/7.exp.py                             | Python           |         27 |          3 |         13 |         43 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/8.params.py                          | Python           |         47 |          6 |         23 |         76 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/README.md                            | Markdown         |         28 |          0 |         12 |         40 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/benchmark/cifar-lumo.py              | Python           |         83 |          3 |         30 |        116 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/benchmark/cifar-raw.py               | Python           |        320 |         39 |         70 |        429 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/benchmark/lastcmd.sh                 | Shell Script     |          1 |          0 |          0 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/data/collate_fn_in_nlp.py            | Python           |         34 |          0 |         14 |         48 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/data/dataloader_side.py              | Python           |         34 |          3 |          7 |         44 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/data/datamodule.py                   | Python           |         31 |          0 |          5 |         36 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/data/nest_datasets.py                | Python           |         32 |          2 |          9 |         43 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/data/quick_start.py                  | Python           |         40 |          9 |         10 |         59 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/experiment/quick_start.py            | Python           |          6 |          0 |          1 |          7 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/lastcmd.sh                           | Shell Script     |          1 |          0 |          0 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/meter/quick_start.py                 | Python           |         14 |          0 |          5 |         19 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/attr.py                         | Python           |          6 |          6 |          6 |         18 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/avg_item.py                     | Python           |          5 |          3 |          5 |         13 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/global_var.py                   | Python           |          4 |          6 |          6 |         16 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/hook.py                         | Python           |         21 |          5 |          7 |         33 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/hpparamexp.py                   | Python           |         36 |         51 |         13 |        100 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/iter2obj.py                     | Python           |          0 |          3 |          2 |          5 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/markdownwrite.py                | Python           |         13 |          6 |          5 |         24 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/mem.py                          | Python           |          0 |          3 |          3 |          6 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/none_item.py                    | Python           |         13 |          3 |          4 |         20 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/rampup.py                       | Python           |          0 |          3 |          3 |          6 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/schedules.py                    | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/screen_str.py                   | Python           |         13 |          3 |          5 |         21 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/ssl.py                          | Python           |          5 |          3 |          6 |         14 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/temp.py                         | Python           |         10 |          5 |          4 |         19 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/more/timeit.py                       | Python           |         10 |          3 |          5 |         18 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/params/constrain.py                  | Python           |         11 |          4 |          6 |         21 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/params/extends.py                    | Python           |         25 |          1 |          8 |         34 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/params/quick_start.py                | Python           |         11 |          4 |          6 |         21 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/quick_start.py                       | Python           |         47 |          0 |         15 |         62 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/run_1.trainer.py.sh                  | Shell Script     |          1 |          4 |          1 |          6 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/trainer/quick_start.py               | Python           |         60 |         11 |         28 |         99 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/trainer/run_callbacks.py.sh          | Shell Script     |          1 |          1 |          1 |          3 |
| /Users/yanghaozhe/Documents/Python/lumo/examples/trainer/use_datamodule.py            | Python           |         76 |         15 |         33 |        124 |
| /Users/yanghaozhe/Documents/Python/lumo/install.py                                    | Python           |          6 |          1 |          6 |         13 |
| /Users/yanghaozhe/Documents/Python/lumo/lastcmd.sh                                    | Shell Script     |          1 |          0 |          0 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/publish.cmd                                   | Batch            |          1 |          0 |          0 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/requirements.txt                              | pip requirements |         13 |          0 |          0 |         13 |
| /Users/yanghaozhe/Documents/Python/lumo/setup.py                                      | Python           |         29 |          9 |          5 |         43 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/__init__.py                          | Python           |          6 |          3 |          2 |         11 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/cli/__init__.py                      | Python           |          0 |          4 |          2 |          6 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/cli/cli.py                           | Python           |         25 |         55 |         10 |         90 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/cli/functional/__init__.py           | Python           |          3 |          0 |          2 |          5 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/cli/functional/clone.py              | Python           |         21 |          0 |         10 |         31 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/cli/functional/extract.py            | Python           |         28 |          0 |          7 |         35 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/cli/functional/init.py               | Python           |         60 |          0 |          9 |         69 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/cli/functional/lists.py              | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/cli/functional/summary.py            | Python           |          0 |          0 |          4 |          4 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/cli/functional/tune.py               | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/cli/functional/watch.py              | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/__init__.py                  | Python           |          2 |          3 |          1 |          6 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/board/BatchEmbedding.py      | Python           |         19 |          4 |          7 |         30 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/board/__init__.py            | Python           |          0 |          3 |          2 |          5 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/data/__init__.py             | Python           |          1 |          3 |          2 |          6 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/data/augments/__init__.py    | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/data/augments/mix.py         | Python           |         27 |          8 |          7 |         42 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/data/augments/transforms.py  | Python           |         14 |          7 |          4 |         25 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/data/splits.py               | Python           |         65 |         36 |         21 |        122 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/itertools.py                 | Python           |        103 |         52 |         29 |        184 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/module/__init__.py           | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/module/ema.py                | Python           |         37 |         24 |         19 |         80 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/nn/__init__.py               | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/nn/functional.py             | Python           |         48 |         58 |         22 |        128 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/nn/loss.py                   | Python           |        114 |        101 |         36 |        251 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/nn/optimizer_builder.py      | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/optim/__init__.py            | Python           |          0 |         16 |          3 |         19 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/optim/grouper.py             | Python           |         46 |         20 |         15 |         81 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/optim/lars.py                | Python           |         82 |         26 |         36 |        144 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/path.py                      | Python           |         16 |          1 |          6 |         23 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/string/__init__.py           | Python           |          1 |          0 |          1 |          2 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/string/lcs.py                | Python           |        142 |         27 |         26 |        195 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/tb.py                        | Python           |         28 |          0 |          9 |         37 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/torch/__init__.py            | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/torch/accuracy.py            | Python           |         16 |         18 |          6 |         40 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/torch/memoty_bank.py         | Python           |         39 |          0 |         16 |         55 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/torch/tensor.py              | Python           |         49 |        130 |         29 |        208 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/transforms/__init__.py       | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/contrib/transforms/transforms.py     | Python           |         14 |          7 |          5 |         26 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/README.md                       | Markdown         |          9 |          0 |          1 |         10 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/__init__.py                     | Python           |          7 |          0 |          1 |          8 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/attr.py                         | Python           |         38 |          3 |         12 |         53 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/enums.py                        | Python           |         17 |          0 |          7 |         24 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/interp.py                       | Python           |        270 |         84 |         96 |        450 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/list.py                         | Python           |         31 |         25 |          8 |         64 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/metaclasses.py                  | Python           |         59 |         23 |         27 |        109 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/meter.py                        | Python           |        180 |         10 |         42 |        232 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/params.py                       | Python           |        174 |         76 |         67 |        317 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/raises.py                       | Python           |          2 |          0 |          3 |          5 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/record.py                       | Python           |         89 |          4 |         26 |        119 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/record_backend/__init__.py      | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/record_backend/abc.py           | Python           |         16 |          0 |          5 |         21 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/record_backend/record_csv.py    | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/record_backend/record_sqlite.py | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/record_backend/record_tb.py     | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/record_backend/record_wandb.py  | Python           |          2 |          0 |          1 |          3 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/core/tree.py                         | Python           |         89 |          4 |         28 |        121 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/data/README.md                       | Markdown         |          4 |          0 |          1 |          5 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/data/__init__.py                     | Python           |          4 |          0 |          1 |          5 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/data/__main__.py                     | Python           |          0 |         15 |          1 |         16 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/data/accelerator.py                  | Python           |        109 |         60 |         21 |        190 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/data/builder.py                      | Python           |        224 |         10 |         65 |        299 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/data/collate.py                      | Python           |         77 |          4 |         22 |        103 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/data/datamodule.py                   | Python           |         33 |          0 |         13 |         46 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/data/loader.py                       | Python           |        119 |         15 |         33 |        167 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/decorators/__init__.py               | Python           |          4 |          0 |          1 |          5 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/decorators/clsmethod.py              | Python           |          7 |          9 |          6 |         22 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/decorators/deprecated.py             | Python           |        116 |        132 |         44 |        292 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/decorators/lazy_required.py          | Python           |         29 |          1 |         12 |         42 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/decorators/map_extract.py            | Python           |         16 |          0 |          3 |         19 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/decorators/process.py                | Python           |          7 |          0 |          5 |         12 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/decorators/regist.py                 | Python           |         34 |          0 |         12 |         46 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/exp/README.md                        | Markdown         |         10 |          0 |          4 |         14 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/exp/__init__.py                      | Python           |          1 |          0 |          1 |          2 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/exp/__main__.py                      | Python           |          0 |          3 |          1 |          4 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/exp/agent.py                         | Python           |         23 |          3 |         11 |         37 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/exp/experiment.py                    | Python           |        270 |         41 |         60 |        371 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/exp/exphook.py                       | Python           |        136 |          3 |         42 |        181 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/exp/finder.py                        | Python           |         74 |          0 |         25 |         99 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/lazy/__init__.py                     | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/nest/__init__.py                     | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/nest/trainer/__init__.py             | Python           |          0 |          3 |          0 |          3 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/nest/trainer/acc.py                  | Python           |         71 |         26 |         20 |        117 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/nest/trainer/callbacks.py            | Python           |         11 |          0 |          4 |         15 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/nest/trainer/losses.py               | Python           |        105 |         42 |         38 |        185 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/proc/__init__.py                     | Python           |          1 |          3 |          1 |          5 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/proc/date.py                         | Python           |         18 |         16 |         12 |         46 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/proc/dependency.py                   | Python           |         19 |          1 |          9 |         29 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/proc/dist.py                         | Python           |         18 |          0 |         11 |         29 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/proc/network.py                      | Python           |          8 |          5 |          1 |         14 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/proc/path.py                         | Python           |         58 |          0 |         23 |         81 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/server/__init__.py                   | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/server/__main__.py                   | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/server/apis/__init__.py              | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/__init__.py                   | Python           |          0 |          7 |          2 |          9 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/audio/README.md               | Markdown         |          1 |          0 |          1 |          2 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/audio/__init__.py             | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/audio/audio_tools.py          | Python           |         34 |         13 |         11 |         58 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/audio/unsupervised_vad.py     | Python           |         71 |         39 |         27 |        137 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/cudamemory.py                 | Python           |          5 |          0 |          2 |          7 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/filelock.py                   | Python           |         28 |          0 |         16 |         44 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/finder.py                     | Python           |          0 |        447 |          2 |        449 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/memory_grab.py                | Python           |        185 |         47 |         43 |        275 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/nddatasets/__init__.py        | Python           |          0 |          3 |          2 |          5 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/nddatasets/ndtransforms.py    | Python           |         74 |          8 |         27 |        109 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/nddatasets/pttransforms.py    | Python           |         30 |          7 |         15 |         52 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/objectdetect.py               | Python           |         52 |         18 |         14 |         84 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/parallel_coor.py              | Python           |         49 |          6 |          8 |         63 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/preprocess_mean_std.py        | Python           |         33 |          2 |         11 |         46 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/randaugment.py                | Python           |        158 |          8 |         54 |        220 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/tensorboard_event.py          | Python           |         35 |          1 |         10 |         46 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/torchsummary.py               | Python           |         89 |         11 |         22 |        122 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/sketch/vis.py                        | Python           |         30 |          0 |         10 |         40 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/trainer/__init__.py                  | Python           |          4 |          0 |          1 |          5 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/trainer/accelerator.py               | Python           |         78 |         31 |         18 |        127 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/trainer/base.py                      | Python           |        146 |         48 |         42 |        236 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/trainer/callbacks.py                 | Python           |        713 |        115 |        215 |      1,043 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/trainer/components.py                | Python           |         75 |          0 |         19 |         94 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/trainer/factory.py                   | Python           |         81 |          0 |         26 |        107 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/trainer/rnd.py                       | Python           |         51 |         25 |         16 |         92 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/trainer/saver.py                     | Python           |        166 |         91 |         32 |        289 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/trainer/trainer.py                   | Python           |        451 |         58 |        112 |        621 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/utils/__init__.py                    | Python           |          5 |          0 |          2 |          7 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/utils/exithook.py                    | Python           |         22 |          3 |         13 |         38 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/utils/fmt.py                         | Python           |         35 |          1 |         21 |         57 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/utils/logger.py                      | Python           |        209 |         20 |         56 |        285 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/utils/random.py                      | Python           |         41 |         23 |         14 |         78 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/utils/repository.py                  | Python           |        120 |         81 |         45 |        246 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/utils/safe_io.py                     | Python           |         78 |          5 |         27 |        110 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/utils/screen.py                      | Python           |        116 |         14 |         38 |        168 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/utils/timer.py                       | Python           |         71 |         18 |         24 |        113 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/vis/__init__.py                      | Python           |          0 |          0 |          1 |          1 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/vis/__main__.py                      | Python           |         84 |          9 |         24 |        117 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/vis/parser.py                        | Python           |         55 |          0 |         13 |         68 |
| /Users/yanghaozhe/Documents/Python/lumo/src/lumo/vis/parser_tb.py                     | Python           |         41 |          1 |         12 |         54 |
| /Users/yanghaozhe/Documents/Python/lumo/template/one-file.tmp.py                      | Python           |         66 |         14 |         38 |        118 |
